Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2017-03-07,827.4,833.41,826.52,831.91,1037576.0,831.91,831.91,827.197905122087,811.7233021958126,15.474602926274429,0,10,-1503.5999999999995
2017-03-08,833.51,838.15,831.79,835.37,988953.0,835.37,835.37,827.9680873288271,812.3212171432851,15.646870185541957,0,10,-1468.999999999999
2017-03-09,836.0,842.0,834.21,838.68,1261393.0,838.68,838.68,828.9096296891905,812.9428114403273,15.966818248863206,0,10,-1435.8999999999996
2017-03-10,843.28,844.91,839.5,843.25,1702737.0,843.25,843.25,830.11552983346,813.6265742260314,16.48895560742858,0,10,-1390.1999999999991
2017-03-13,844.0,848.68,843.25,845.54,1149943.0,845.54,845.54,831.4228060225178,814.3522445296121,17.070561492905654,0,10,-1367.2999999999995
2017-03-14,843.64,847.24,840.8,845.62,779920.0,845.62,845.62,832.6771649081691,815.0934264717234,17.58373843644563,0,10,-1366.499999999999
2017-03-15,847.59,848.63,840.77,847.2,1381329.0,847.2,847.2,834.0132812149118,815.8859198575326,18.127361357379186,0,10,-1350.6999999999987
2017-03-16,849.03,850.85,846.13,848.78,977394.0,848.78,848.78,835.3828760632814,816.7044500133564,18.67842604992495,0,10,-1334.8999999999994
2017-03-17,851.61,853.4,847.11,852.12,1713474.0,852.12,852.12,837.0472523198005,817.6493231428755,19.397929176925004,-1,0,-1301.4999999999982
2017-03-20,850.01,850.22,845.15,848.4,1230795.0,848.4,848.4,838.2101135015605,818.494388689164,19.715724812396502,1,10,-1301.4999999999982
2017-03-21,851.4,853.5,829.02,830.46,2461237.0,830.46,830.46,837.412520882415,818.824770997459,18.587749884955997,1,20,-1480.8999999999965
2017-03-22,831.91,835.55,827.18,829.59,1399439.0,829.59,829.59,836.6032673162542,819.1235637037682,17.47970361248599,0,20,-1498.2999999999965
2017-03-23,821.0,822.57,812.25,817.58,3485770.0,817.58,817.58,834.426996471185,819.0761873951105,15.350809076074484,0,20,-1738.4999999999964
2017-03-24,820.08,821.93,808.89,814.43,1980603.0,814.43,814.43,831.8962768714605,818.9184317861874,12.977845085273088,0,20,-1801.4999999999982
2017-03-27,806.95,821.63,803.37,819.51,1894735.0,819.51,819.51,830.2561738983431,818.9394474925207,11.316726405822465,0,20,-1699.8999999999974
2017-03-28,820.41,825.99,814.02,820.92,1620532.0,820.92,820.92,829.0050916397036,819.0106527600059,9.994438879697668,0,20,-1671.699999999998
2017-03-29,825.0,832.76,822.38,831.41,1785234.0,831.41,831.41,829.3279555375335,819.4572629258304,9.870692611703134,0,20,-1461.8999999999978
2017-03-30,833.5,833.68,829.0,831.5,1055267.0,831.5,831.5,829.6192083302742,819.890509782317,9.728698547957151,0,20,-1460.0999999999972
2017-03-31,828.97,831.64,827.39,829.56,1401756.0,829.56,829.56,829.6112770141228,820.2380258223112,9.373251191811619,0,20,-1498.8999999999983
2017-04-03,829.22,840.85,829.22,838.55,1670349.0,838.55,838.55,830.8002772680323,820.8915331543274,9.908744113704984,0,20,-1319.099999999998
2017-04-04,831.36,835.18,829.03,834.57,1045141.0,834.57,834.57,831.3006906248029,821.3786865512446,9.922004073558242,0,20,-1398.6999999999962
2017-04-05,835.51,842.45,830.72,831.41,1553614.0,831.41,831.41,831.3152407242192,821.7369274603035,9.578313263915675,0,20,-1461.8999999999978
2017-04-06,832.4,836.39,826.46,827.88,1254245.0,827.88,827.88,830.8551122991955,821.9576854139673,8.897426885228242,0,20,-1532.4999999999973
2017-04-07,827.96,828.48,820.51,824.67,1057009.0,824.67,824.67,830.0267224255214,822.055147584712,7.971574840809353,0,20,-1596.699999999998
2017-04-10,825.39,829.35,823.77,824.73,978898.0,824.73,824.73,829.3305617098757,822.1494691395725,7.181092570303235,0,20,-1595.4999999999968
2017-04-11,824.71,827.42,817.02,823.35,1079510.0,823.35,823.35,828.56410083745,822.1907482348304,6.373352602619661,0,20,-1623.0999999999967
2017-04-12,821.93,826.66,821.02,824.32,900060.0,824.32,824.32,828.0487701303981,822.2601125610448,5.7886575693532905,0,20,-1603.6999999999962
2017-04-13,822.14,826.38,821.44,823.56,1118432.0,823.56,823.56,827.5510846575014,822.2987797120044,5.2523049454970305,0,20,-1618.8999999999983
2017-04-17,825.01,837.75,824.47,837.17,894540.0,837.17,837.17,828.451269937478,822.6721684715492,5.779101465928761,0,20,-1346.699999999998
2017-04-18,834.22,838.93,832.71,836.82,836464.0,836.82,836.82,829.1130633107865,822.9723345162234,6.140728794563074,0,20,-1353.6999999999962
2017-04-19,839.79,842.22,836.29,838.21,954325.0,838.21,838.21,829.8740816981162,823.3143354103554,6.559746287760845,0,20,-1325.8999999999965
2017-04-20,841.44,845.2,839.32,841.65,957995.0,841.65,841.65,830.9467565754863,823.7624393990312,7.184317176455124,0,20,-1257.0999999999976
2017-04-21,842.88,843.88,840.6,843.19,1323469.0,843.19,843.19,832.0908277795756,824.249500752303,7.841327027272655,0,20,-1226.299999999996
